0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
AA,AE,AC,AB,AB,AB,AB,AB,AF,AB,AD,AA,AA,AA,AA
