0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
AD,AD,AD,AD,AD,AD,AD,AF,AG,AA,AA,AA,AH,AE,AC,AH,AA,AH,AE,AF,AH,AB,AB,AB,AB,AB,AB,AB,AB,AB
